grupo,posicao,selecao,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,pontos,classifica
A,1,Alemanha,3,2,0,1,10,4,6,6,Sim
A,2,Costa do Marfim,3,2,0,1,4,2,2,6,Sim
A,3,Equador,3,1,1,1,2,2,0,4,Nao
A,4,Curaçau,3,0,1,2,1,9,-8,1,Nao
B,1,Argentina,2,2,0,0,5,0,5,6,Sim
B,2,Áustria,2,1,0,1,3,3,0,3,Sim
B,3,Argélia,2,1,0,1,2,4,-2,3,Nao
B,4,Jordânia,2,0,0,2,2,5,-3,0,Nao
C,1,Espanha,3,2,1,0,5,0,5,7,Sim
C,2,Cabo Verde,3,0,3,0,2,2,0,3,Sim
C,3,Uruguai,3,0,2,1,3,4,-1,2,Nao
C,4,Arábia Saudita,3,0,2,1,1,5,-4,2,Nao
D,1,EUA,3,2,0,1,8,4,4,6,Sim
D,2,Austrália,3,1,1,1,2,2,0,4,Sim
D,3,Paraguai,3,1,1,1,2,4,-2,4,Nao
D,4,Turquia,3,1,0,2,3,5,-2,3,Nao
E,1,Brasil,3,2,1,0,7,1,6,7,Sim
E,2,Marrocos,3,2,1,0,6,3,3,7,Sim
E,3,Escócia,3,1,0,2,1,4,-3,3,Nao
E,4,Haiti,3,0,0,3,2,8,-6,0,Nao
F,1,Bélgica,3,1,2,0,6,2,4,5,Sim
F,2,Egito,3,1,2,0,5,3,2,5,Sim
F,3,RI do Irã,3,0,3,0,3,3,0,3,Nao
F,4,Nova Zelândia,3,0,1,2,4,10,-6,1,Nao
G,1,Suíça,3,2,1,0,7,3,4,7,Sim
G,2,Canadá,3,1,1,1,8,3,5,4,Sim
G,3,Bósnia e Herzegovina,3,1,1,1,5,6,-1,4,Nao
G,4,Catar,3,0,1,2,2,10,-8,1,Nao
H,1,Colômbia,2,2,0,0,4,1,3,6,Sim
H,2,Portugal,2,1,1,0,6,1,5,4,Sim
H,3,RD do Congo,2,0,1,1,1,2,-1,1,Nao
H,4,Uzbequistão,2,0,0,2,1,8,-7,0,Nao
I,1,Inglaterra,2,1,1,0,4,2,2,4,Sim
I,2,Gana,2,1,1,0,1,0,1,4,Sim
I,3,Croácia,2,1,0,1,3,4,-1,3,Nao
I,4,Panamá,2,0,0,2,0,2,-2,0,Nao
J,1,França,3,3,0,0,10,2,8,9,Sim
J,2,Noruega,3,2,0,1,8,7,1,6,Sim
J,3,Senegal,3,1,0,2,8,6,2,3,Nao
J,4,Iraque,3,0,0,3,1,12,-11,0,Nao
K,1,Holanda,3,2,1,0,10,4,6,7,Sim
K,2,Japão,3,1,2,0,7,3,4,5,Sim
K,3,Suécia,3,1,1,1,7,7,0,4,Nao
K,4,Tunísia,3,0,0,3,2,12,-10,0,Nao
L,1,México,3,3,0,0,6,0,6,9,Sim
L,2,África do Sul,3,1,1,1,2,3,-1,4,Sim
L,3,República da Coreia,3,1,0,2,2,3,-1,3,Nao
L,4,Tchéquia,3,0,1,2,2,6,-4,1,Nao
