pos,jogador,time,gols
1,Lionel Messi,Argentina,5
2,Vinicius Junior,Brasil,4
3,Kylian Mbappe,França,4
4,Erling Haaland,Noruega,4
5,Ousmane Dembele,França,4
6,Ismael Saibari,Marrocos,3
7,Deniz Undav,Alemanha,3
8,Johan Manzambi,Suíça,3
9,Jonathan David,Canadá,3
10,Matheus Cunha,Brasil,3
11,Brian Brobbey,Holanda,3
12,Ismaila Sarr,Senegal,3
13,Julian Quinones,México,2
14,Cyle Larin,Canadá,2
15,Folarin Balogun,EUA,2
16,Kai Havertz,Alemanha,2
17,Crysencio Summerville,Holanda,2
18,Daichi Kamada,Japão,2
19,Yasin Ayari,Suécia,2
20,Maxi Araujo,Uruguai,2
21,Elijah Just,Nova Zelândia,2
22,Aymen Hussein,Iraque,2
23,Harry Kane,Inglaterra,2
24,Daniel Munoz,Colômbia,2
25,Ruben Vargas,Suíça,2
26,Ermin Mahmic,Bósnia e Herzegovina,2
27,Cody Gakpo,Holanda,2
28,Anthony Elanga,Suécia,2
29,Ayase Ueda,Japão,2
30,Mikel Oyarzabal,Espanha,2
