pos,jogador,time,faltas
1,Andres Cubas,Paraguai,11
2,Behruzjon Karimov,Uzbequistão,8
3,Lee Hanbeom,República da Coreia,7
4,Ermedin Demirovic,Bósnia e Herzegovina,7
5,Martin Experience,Haiti,7
6,Aleksandar Pavlovic,Alemanha,7
7,Hiroki Ito,Japão,7
8,Robin Hranac,Tchéquia,6
9,Juan Jose Caceres,Paraguai,6
10,Breel Embolo,Suíça,6
11,Jassem Gaber,Catar,6
12,Ricardo Rodriguez,Suíça,6
13,Neil El Aynaoui,Marrocos,6
14,Ricardo Ade,Haiti,6
15,Lenny Joseph,Haiti,6
16,Alan Franco,Equador,6
17,Thomas Meunier,Bélgica,6
18,Rodrigo Bentancur,Uruguai,6
19,Nasser Aldawsari,Arábia Saudita,6
20,Jordan Ayew,Gana,6
21,Agustin Canobbio,Uruguai,6
22,Ladislav Krejci,Tchéquia,5
23,Sead Kolasinac,Bósnia e Herzegovina,5
24,Ivan Sunjic,Bósnia e Herzegovina,5
25,Chris Richards,EUA,5
26,Lewis Ferguson,Escócia,5
27,Lawrence Shankland,Escócia,5
28,David Moller Wolfe,Noruega,5
29,Xaver Schlager,Áustria,5
30,Edo Kayembe,RD do Congo,5
